 GPU activities:   97.25%  3.7893ms         1  3.7893ms  3.7893ms  3.7893ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.21%  3.7902ms         1  3.7902ms  3.7902ms  3.7902ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.20%  3.7877ms         1  3.7877ms  3.7877ms  3.7877ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.22%  3.7876ms         1  3.7876ms  3.7876ms  3.7876ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.17%  3.7878ms         1  3.7878ms  3.7878ms  3.7878ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.20%  3.7883ms         1  3.7883ms  3.7883ms  3.7883ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.18%  3.7879ms         1  3.7879ms  3.7879ms  3.7879ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.19%  3.7887ms         1  3.7887ms  3.7887ms  3.7887ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.18%  3.7870ms         1  3.7870ms  3.7870ms  3.7870ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.19%  3.7883ms         1  3.7883ms  3.7883ms  3.7883ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.22%  3.7852ms         1  3.7852ms  3.7852ms  3.7852ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.22%  3.7874ms         1  3.7874ms  3.7874ms  3.7874ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.21%  3.7877ms         1  3.7877ms  3.7877ms  3.7877ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.19%  3.7880ms         1  3.7880ms  3.7880ms  3.7880ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.22%  3.7901ms         1  3.7901ms  3.7901ms  3.7901ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.21%  3.7886ms         1  3.7886ms  3.7886ms  3.7886ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.20%  3.7881ms         1  3.7881ms  3.7881ms  3.7881ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.20%  3.7902ms         1  3.7902ms  3.7902ms  3.7902ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.19%  3.7866ms         1  3.7866ms  3.7866ms  3.7866ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.22%  3.7896ms         1  3.7896ms  3.7896ms  3.7896ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
