 GPU activities:   44.97%  73.188ms         1  73.188ms  73.188ms  73.188ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.98%  73.187ms         1  73.187ms  73.187ms  73.187ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.18%  70.901ms         1  70.901ms  70.901ms  70.901ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.98%  73.187ms         1  73.187ms  73.187ms  73.187ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.97%  73.188ms         1  73.188ms  73.188ms  73.188ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   45.09%  73.513ms         1  73.513ms  73.513ms  73.513ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.97%  73.188ms         1  73.188ms  73.188ms  73.188ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.97%  73.192ms         1  73.192ms  73.192ms  73.192ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.97%  73.195ms         1  73.195ms  73.195ms  73.195ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.12%  70.695ms         1  70.695ms  70.695ms  70.695ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.97%  73.196ms         1  73.196ms  73.196ms  73.196ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.90%  70.102ms         1  70.102ms  70.102ms  70.102ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.96%  73.192ms         1  73.192ms  73.192ms  73.192ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.97%  73.195ms         1  73.195ms  73.195ms  73.195ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   45.01%  73.197ms         1  73.197ms  73.197ms  73.197ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.97%  73.198ms         1  73.198ms  73.198ms  73.198ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.97%  73.194ms         1  73.194ms  73.194ms  73.194ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.38%  71.475ms         1  71.475ms  71.475ms  71.475ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.96%  73.193ms         1  73.193ms  73.193ms  73.193ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   44.96%  73.197ms         1  73.197ms  73.197ms  73.197ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
