 GPU activities:   96.39%  10.766ms         1  10.766ms  10.766ms  10.766ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.39%  10.763ms         1  10.763ms  10.763ms  10.763ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.38%  10.764ms         1  10.764ms  10.764ms  10.764ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.38%  10.763ms         1  10.763ms  10.763ms  10.763ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.39%  10.762ms         1  10.762ms  10.762ms  10.762ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.36%  10.764ms         1  10.764ms  10.764ms  10.764ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.39%  10.764ms         1  10.764ms  10.764ms  10.764ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.43%  10.763ms         1  10.763ms  10.763ms  10.763ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.38%  10.762ms         1  10.762ms  10.762ms  10.762ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.36%  10.761ms         1  10.761ms  10.761ms  10.761ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.36%  10.764ms         1  10.764ms  10.764ms  10.764ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.39%  10.762ms         1  10.762ms  10.762ms  10.762ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.40%  10.762ms         1  10.762ms  10.762ms  10.762ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.36%  10.764ms         1  10.764ms  10.764ms  10.764ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.39%  10.763ms         1  10.763ms  10.763ms  10.763ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.40%  10.764ms         1  10.764ms  10.764ms  10.764ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.38%  10.762ms         1  10.762ms  10.762ms  10.762ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.37%  10.766ms         1  10.766ms  10.766ms  10.766ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.42%  10.764ms         1  10.764ms  10.764ms  10.764ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.36%  10.762ms         1  10.762ms  10.762ms  10.762ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
