    100,0         30375060          1  30375060,0  30375060,0  30375060  30375060          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30369809          1  30369809,0  30369809,0  30369809  30369809          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30372977          1  30372977,0  30372977,0  30372977  30372977          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30374994          1  30374994,0  30374994,0  30374994  30374994          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30370738          1  30370738,0  30370738,0  30370738  30370738          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30372913          1  30372913,0  30372913,0  30372913  30372913          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30390962          1  30390962,0  30390962,0  30390962  30390962          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30376914          1  30376914,0  30376914,0  30376914  30376914          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30371794          1  30371794,0  30371794,0  30371794  30371794          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30372337          1  30372337,0  30372337,0  30372337  30372337          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30394609          1  30394609,0  30394609,0  30394609  30394609          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30366416          1  30366416,0  30366416,0  30366416  30366416          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30384815          1  30384815,0  30384815,0  30384815  30384815          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30368176          1  30368176,0  30368176,0  30368176  30368176          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30373710          1  30373710,0  30373710,0  30373710  30373710          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30371438          1  30371438,0  30371438,0  30371438  30371438          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30375693          1  30375693,0  30375693,0  30375693  30375693          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30374383          1  30374383,0  30374383,0  30374383  30374383          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30372078          1  30372078,0  30372078,0  30372078  30372078          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
    100,0         30370157          1  30370157,0  30370157,0  30370157  30370157          0,0  GPU_min_sum(unsigned char *, unsigned char *, unsigned char *)
